Station_Name,Index_No,Basin_Office,Types_of_Station,District,Latitude,Longitude,Elemeter,AgEstdDate,NMS_EstdDate,geometry
RANI JARUWA NURSERY,417.0,R,CLIMATOLOGY,Bardiya,28.383333,81.35,200,,1975-12-03,POINT (81.35 28.383333)
MAINA GAUN (D.BAS),418.0,R,PRECIPITATION,Jajarkot,28.983333,82.283333,2000,,1975-05-03,POINT (82.283333 28.983333)
SIKTA,419.0,R,AGROMETEOROLOGY,Banke,28.033333,81.783333,195,,1978-05-03,POINT (81.783333 28.033333)
NEPALGUNJ AIRPORT,420.0,R,AERONATICAL,Banke,28.1,81.666667,165,,1996-05-03,POINT (81.666667 28.1)
RUKUMKOT,501.0,R,PRECIPITATION,Rukum,28.6,82.633333,1560,1957-07-01,1976-04-03,POINT (82.633333 28.6)
SHERA GAUN,502.0,R,PRECIPITATION,Rukum,28.583333,82.816667,2150,1957-07-01,1973-03-03,POINT (82.816667 28.583333)
LIBANG GAUN,504.0,R,PRECIPITATION,Rolpa,28.3,82.633333,1270,1957-07-01,1973-03-03,POINT (82.633333 28.3)
BIJUWAR TAR,505.0,R,PRECIPITATION,Pyuthan,28.1,82.866667,823,1957-08-01,1973-03-03,POINT (82.866667 28.1)
NAYABASTI (DANG),507.0,R,PRECIPITATION,Dang,28.216667,82.116667,698,,1970-12-03,POINT (82.116667 28.216667)
TULSIPUR,508.0,R,CLIMATOLOGY,Dang,28.133333,82.3,725,,1970-12-03,POINT (82.3 28.133333)
GHORAHI (MASINA),509.0,R,PRECIPITATION,Dang,28.05,82.5,725,,1970-12-03,POINT (82.5 28.05)
KOILABAS,510.0,R,PRECIPITATION,Dang,27.7,82.533333,320,,1971-02-03,POINT (82.533333 27.7)
SALYAN BAZAR,511.0,R,CLIMATOLOGY,Salyan,28.383333,82.166667,1457,1956-11-01,1971-11-03,POINT (82.166667 28.383333)
LUWAMJULA BAZAR,512.0,R,PRECIPITATION,Salyan,28.3,82.283333,885,,1971-11-03,POINT (82.283333 28.3)
CHAUR JHARI TAR,513.0,R,CLIMATOLOGY,Rukum,28.633333,82.2,910,,1975-06-03,POINT (82.2 28.633333)
MUSIKOT(RUKUMKOT),514.0,R,CLIMATOLOGY,Rukum,28.633333,82.483333,2100,,1973-07-03,POINT (82.483333 28.633333)
GHORAI (DANG),515.0,R,SYNOPTIC,Dang,28.05,82.5,634,,1989-07-03,POINT (82.5 28.05)
JOMSOM,601.0,N,CLIMATOLOGY,Mustang,28.783333,83.716667,2744,1957-07-01,1972-10-03,POINT (83.716667 28.783333)
THAKMARPHA,604.0,N,AGROMETEOROLOGY,Mustang,28.75,83.7,2566,,1966-12-03,POINT (83.7 28.75)
BAGLUNG,605.0,N,CLIMATOLOGY,Baglung,28.266667,83.6,984,,1969-05-03,POINT (83.6 28.266667)
TATOPANI,606.0,N,PRECIPITATION,Myagdi,28.483333,83.65,1243,,1969-05-03,POINT (83.65 28.483333)
LETE,607.0,N,CLIMATOLOGY,Mustang,28.633333,83.6,2384,,1969-05-03,POINT (83.6 28.633333)
RANIPAUWA (M.NATH),608.0,N,PRECIPITATION,Mustang,28.816667,83.883333,3609,,1969-05-03,POINT (83.883333 28.816667)
BENI BAZAR,609.0,N,CLIMATOLOGY,Myagdi,28.35,83.566667,835,1956-02-01,1972-11-03,POINT (83.566667 28.35)
GHAMI (MUSTANG),610.0,N,PRECIPITATION,Mustang,29.05,83.883333,3465,,1972-11-03,POINT (83.883333 29.05)
MUSTANG(LOMANGTHANG),612.0,N,CLIMATOLOGY,Mustang,29.183333,83.966667,3705,,1973-09-03,POINT (83.966667 29.183333)
KARKI NETA,613.0,N,PRECIPITATION,Parbat,28.183333,83.75,1720,,1977-02-03,POINT (83.75 28.183333)
KUSHMA,614.0,N,CLIMATOLOGY,Parbat,28.216667,83.7,891,,1969-05-03,POINT (83.7 28.216667)
BOBANG,615.0,N,PRECIPITATION,Baglung,28.4,83.1,2273,,1977-12-03,POINT (83.1 28.4)
GURJA KHANI,616.0,N,CLIMATOLOGY,Myagdi,28.6,83.216667,2530,,1978-12-03,POINT (83.216667 28.6)
GHOREPANI,619.0,N,PRECIPITATION,Myagdi,28.4,83.733333,2742,,1975-03-03,POINT (83.733333 28.4)
TRIBENI,620.0,N,PRECIPITATION,Parbat,28.033333,83.65,700,,1989-02-03,POINT (83.65 28.033333)
DARBANG,621.0,N,PRECIPITATION,Myagdi,28.383333,83.4,1160,,1989-02-03,POINT (83.4 28.383333)
RANGKHANI,622.0,N,PRECIPITATION,Baglung,28.15,83.566667,1740,,1989-01-03,POINT (83.566667 28.15)
DHIEE,623.0,N,PRECIPITATION,Mustang,29.1,84.0,3620,1992-04-01,,POINT (84 29.1)
SAMAR GAUN,624.0,N,PRECIPITATION,Mustang,28.966667,83.783333,3570,1992-04-01,,POINT (83.783333 28.966667)
SANDA,625.0,N,PRECIPITATION,Mustang,28.9,83.683333,3570,1992-04-01,,POINT (83.683333 28.9)
BEGA,626.0,N,PRECIPITATION,Myagdi,28.466667,83.6,1770,1992-04-01,,POINT (83.6 28.466667)
KUHUN,627.0,N,PRECIPITATION,Myagdi,28.383333,83.483333,1550,1992-04-01,,POINT (83.483333 28.383333)
