River,Station,Latitude,Longitude,NextStation,Raw_1962(m³/s),Raw_1963(m³/s),Raw_1964(m³/s),Raw_1965(m³/s),Raw_1966(m³/s),Raw_1967(m³/s),Raw_1968(m³/s),Raw_1969(m³/s),Raw_1970(m³/s),Raw_1971(m³/s),Raw_1972(m³/s),Raw_1973(m³/s),Raw_1974(m³/s),Raw_1975(m³/s),Raw_1976(m³/s),Raw_1977(m³/s),Raw_1978(m³/s),Raw_1979(m³/s),Raw_1980(m³/s),Raw_1981(m³/s),Raw_1982(m³/s),Raw_1983(m³/s),Raw_1984(m³/s),Raw_1985(m³/s),Raw_1986(m³/s),Raw_1987(m³/s),Raw_1988(m³/s),Raw_1989(m³/s),Raw_1990(m³/s),Raw_1991(m³/s),Raw_1992(m³/s),Raw_1993(m³/s),Norm_1962(m³/s),Norm_1963(m³/s),Norm_1964(m³/s),Norm_1965(m³/s),Norm_1966(m³/s),Norm_1967(m³/s),Norm_1968(m³/s),Norm_1969(m³/s),Norm_1970(m³/s),Norm_1971(m³/s),Norm_1972(m³/s),Norm_1973(m³/s),Norm_1974(m³/s),Norm_1975(m³/s),Norm_1976(m³/s),Norm_1977(m³/s),Norm_1978(m³/s),Norm_1979(m³/s),Norm_1980(m³/s),Norm_1981(m³/s),Norm_1982(m³/s),Norm_1983(m³/s),Norm_1984(m³/s),Norm_1985(m³/s),Norm_1986(m³/s),Norm_1987(m³/s),Norm_1988(m³/s),Norm_1989(m³/s),Norm_1990(m³/s),Norm_1991(m³/s),Norm_1992(m³/s),Norm_1993(m³/s)
JHIMRUK KHOLA,TIGRA GAON,28.05,82.83,2548350,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,14.790833333333332,47.8,23.90333333333333,39.66916666666666,28.34583333333333,23.111666666666665,34.30769230769231,22.06896551724138,26.825396825396822,26.676392572944295,25.57029177718833,32.60477453580902,31.746031746031747,29.23342175066313,29.23342175066313,29.23342175066313,29.23342175066313,29.23342175066313,29.23342175066313,29.23342175066313,29.23342175066313,29.23342175066313,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.3224776851621653,-0.2517890572253223,-0.3029634051265849,-0.2692011130375911,-0.2934498590022429,-0.3046587472421588,-0.2806826287626511,-0.3068916758812048,-0.2967058506392462,-0.2970249409776661,-0.2993936389942324,-0.2843294012485878,-0.2861683858607413,-0.2915491019177862,-0.2915491019177862,-0.2915491019177862,-0.2915491019177862,-0.2915491019177862,-0.2915491019177862,-0.2915491019177862,-0.2915491019177862,-0.2915491019177862
KALIGANDAKI NADI,KOTAGAON SHRINGE,27.75,84.35,2846800,586.6166666666667,586.6166666666667,586.6166666666667,510.0916666666667,555.4166666666666,468.51666666666665,610.7083333333334,406.0833333333333,515.5666666666667,483.075,368.925,554.85,420.5416666666667,523.8000000000001,384.05,448.1583333333333,522.8083333333333,316.375,400.26666666666665,497.3,440.9278985507246,361.5916666666667,444.26666666666665,504.3333333333333,504.3333333333333,504.3333333333333,504.3333333333333,504.3333333333333,504.3333333333333,504.3333333333333,504.3333333333333,504.3333333333333,0.9020786323408064,0.9020786323408064,0.9020786323408064,0.7382015097374818,0.835264307280712,0.6491692801101284,0.9536705697736946,0.5154692471640206,0.7499261388946619,0.6803457293302099,0.435895241970922,0.8340507992400906,0.5464315479063454,0.7675576968966312,0.4682851992316248,0.6055722191801577,0.7654340578255439,0.3233602169097694,0.5030129440411718,0.7108083502911023,0.5900883531580092,0.4201910202687631,0.5972382742541256,0.7258701265599911,0.7258701265599911,0.7258701265599911,0.7258701265599911,0.7258701265599911,0.7258701265599911,0.7258701265599911,0.7258701265599911,0.7258701265599911
KALIGANDAKI NADI,SETIBENI,28.01,83.6,2549350,285.2083333333333,285.2083333333333,285.2083333333333,224.10833333333332,245.225,227.00833333333333,269.2583333333333,267.7583333333333,302.21666666666664,324.7583333333333,277.6166666666667,361.875,278.2666666666667,346.1166666666666,284.2583333333333,240.4,254.46666666666667,199.1916666666667,279.325,254.36666666666667,218.88333333333333,216.0583333333333,244.86666666666667,226.475,278.2333333333333,191.95,224.33333333333331,270.55,295.8833333333333,272.89166666666665,219.60833333333332,287.4823351903436,0.2566172746755938,0.2566172746755938,0.2566172746755938,0.1257725547662422,0.1709935749858681,0.1319828606211869,0.2224605924733981,0.2192483653070474,0.2930403616007148,0.3413129976283738,0.2403598360725634,0.4207977742890738,0.241751801177982,0.3870515433359118,0.254582864136905,0.1606609109341067,0.1907844634718843,0.0724138923918612,0.2440182059009072,0.1905703149941276,0.114583296803454,0.1085336023068268,0.1702262096072399,0.1308407354064844,0.2416804183520631,0.0569059734609793,0.1262543888411948,0.2252266769777556,0.2794776246761229,0.2302413204985587,0.1161358732671901,0.2614870150365406
KARNALI RIVER,ASARA GHAT,28.95,81.44,2548450,601.1666666666666,556.0833333333334,479.9166666666667,343.8333333333333,403.89166666666665,443.85833333333335,466.4166666666667,551.9166666666666,478.5833333333333,577.2583333333333,458.8333333333333,652.4166666666666,419.4166666666667,635.1083333333333,439.31666666666666,490.5833333333333,555.6666666666666,432.0,569.3000000000001,512.3333333333334,550.1666666666666,529.0,443.5833333333333,468.4166666666667,504.5271604938271,504.5271604938271,504.5271604938271,504.5271604938271,504.5271604938271,529.8333333333334,597.8333333333334,435.5,0.9332372358544082,0.83669196379909,0.6735822065743937,0.3821618197604668,0.5107758263598526,0.596363834636619,0.6446721620772374,0.8277691105592271,0.6707268935376375,0.8820379039640741,0.6284325691806868,1.0429883307047236,0.5440223775315823,1.0059227983463324,0.5866379246051682,0.6964247108684432,0.8357996784751037,0.5709693943159687,0.8649952542759357,0.7430020047805281,0.8240215121984846,0.7786934177399804,0.595774926322788,0.6489551316323717,0.7262852044736677,0.7262852044736677,0.7262852044736677,0.7262852044736677,0.7262852044736677,0.7804779883879528,0.9260989532625178,0.5784645910374536
KARNALI RIVER,BENIGHAT,28.96,81.12,2548400,676.25,676.25,582.6666666666666,406.0,476.5833333333333,535.6666666666666,569.25,637.3333333333334,592.8333333333334,746.9166666666666,540.6666666666666,782.9166666666666,533.0833333333334,806.6666666666666,544.4166666666666,598.3000000000001,711.1666666666666,518.5,689.1833333333334,658.8333333333334,687.5833333333334,704.5833333333334,602.8333333333334,674.5,612.5057692307691,612.5057692307691,612.5057692307691,612.5057692307691,612.5057692307691,600.5,512.9166666666666,535.0,1.09402705123674,1.09402705123674,0.8936197674694162,0.5152907900992233,0.6664439239825033,0.7929699829237612,0.8648881800370573,1.0106876019764193,0.915391529374682,1.245358642184817,0.8036774068115968,1.322452094177234,0.7874378139150461,1.3733123576444533,0.8117079747274736,0.9270983128253824,1.1688005613867924,0.7562078275755254,1.121723587693275,1.0567295246941126,1.1182972120491674,1.1547024532678087,0.9368063771503534,1.0902794528759976,0.957519751386706,0.957519751386706,0.957519751386706,0.957519751386706,0.957519751386706,0.93180957933603,0.744251204234109,0.791542326405383
KARNALI RIVER,CHISAPANI,28.64,81.29,2846800,1671.25,1564.75,1351.1666666666667,925.0833333333334,1103.1666666666667,1189.0,1328.5833333333333,1403.1666666666667,1360.0,1744.25,1213.1666666666667,1731.0,1211.1666666666667,1804.5833333333333,1212.0833333333333,1368.3333333333333,1669.6666666666667,1096.9166666666667,1500.0833333333333,1451.0833333333333,1527.25,1633.75,1172.6666666666667,1377.25,1387.9166666666667,1040.9330371352785,1426.274556143445,359.80041114058355,1644.8436672738312,1419.75,1223.0,1304.8333333333333,3.224804404916034,2.996736276105134,2.539350819029755,1.626899846721361,2.008262594193107,2.1920733709342857,2.4909889544696973,2.650708027463246,2.5582672678982648,3.381132793678434,2.243825919725491,3.3527581203756696,2.239542950170357,3.5103357085916507,2.241505977883127,2.5761129743779905,3.221413720684886,1.9948783143333124,2.8582535938224605,2.753320839721671,2.9164305969463675,3.1444987257572663,2.1570957862340223,2.595207880311298,2.618050384605347,1.8749902238988871,2.7001932210194703,0.4163550738269231,3.1682556453515707,2.6862209833579005,2.264883853371568,2.440128691002478
MADI KHOLA,NAYAGAON,28.07,82.8,2548450,89.36666666666667,89.36666666666667,89.36666666666667,44.63,43.16833333333333,46.1025,61.25416666666667,63.18333333333334,70.64666666666666,75.25833333333334,39.95,98.2225,41.15083333333333,64.26666666666667,43.80833333333333,46.469166666666666,70.925,39.91666666666666,75.50833333333334,62.99166666666667,70.58333333333333,61.8,68.95166666666667,44.10833333333333,44.10833333333333,44.10833333333333,44.10833333333333,44.10833333333333,44.10833333333333,44.10833333333333,44.10833333333333,44.10833333333333,-0.1627746733044486,-0.1627746733044486,-0.1627746733044486,-0.2585775639702101,-0.2617077008867541,-0.2554242276352426,-0.2229771641138046,-0.218845883063748,-0.2028632683405053,-0.1929874543746249,-0.2685997127292243,-0.1438100410284437,-0.2660281464254958,-0.2165259412213836,-0.2603371506291111,-0.2546390165501346,-0.2022672217440825,-0.2686710955551432,-0.1924520831802331,-0.2192563343127817,-0.2029988957097512,-0.2218082703393825,-0.2064930850384816,-0.259694705195841,-0.259694705195841,-0.259694705195841,-0.259694705195841,-0.259694705195841,-0.259694705195841,-0.259694705195841,-0.259694705195841,-0.259694705195841
MARSYANDI NADI,BIMAL NAGAR,27.95,84.43,2549500,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,218.11748783960564,244.90221732047343,231.8946761685181,211.05913240193988,147.81510057170115,170.7432789611624,170.7432789611624,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1129432503366678,0.1703023407911997,0.1424468894207093,0.0978278896122483,-0.0376082418241788,0.0114921031741959,0.0114921031741959
RAPTI RIVER,BAGASOTI GAON,27.9,82.85,2548620,87.96666666666665,87.96666666666665,87.96666666666665,87.96666666666665,87.96666666666665,87.96666666666665,87.96666666666665,87.96666666666665,87.96666666666665,87.96666666666665,87.96666666666665,87.96666666666665,87.96666666666665,87.96666666666665,87.96666666666665,77.22500000000001,104.4,75.25833333333334,98.19166666666666,101.88333333333333,85.88333333333334,101.04166666666669,102.63333333333333,95.40833333333336,95.40833333333336,95.40833333333336,95.40833333333336,95.40833333333336,95.40833333333336,95.40833333333336,95.40833333333336,95.40833333333336,-0.1657727519930426,-0.1657727519930426,-0.1657727519930426,-0.1657727519930426,-0.1657727519930426,-0.1657727519930426,-0.1657727519930426,-0.1657727519930426,-0.1657727519930426,-0.1657727519930426,-0.1657727519930426,-0.1657727519930426,-0.1657727519930426,-0.1657727519930426,-0.1657727519930426,-0.1887758676454095,-0.1305810188150228,-0.1929874543746249,-0.1438760701424187,-0.1359704221719001,-0.1702341786129741,-0.1377728385263524,-0.1343643085887247,-0.1498365361066472,-0.1498365361066472,-0.1498365361066472,-0.1498365361066472,-0.1498365361066472,-0.1498365361066472,-0.1498365361066472,-0.1498365361066472,-0.1498365361066472
RAPTI RIVER,JALKUNDI,27.95,82.23,2846800,117.60833333333332,117.60833333333332,117.60833333333332,79.45416666666667,74.2075,84.67416666666666,110.40416666666664,106.59416666666668,122.17833333333334,125.975,71.37583333333333,186.70833333333331,104.80083333333332,166.38166666666666,107.14166666666668,108.79166666666669,164.04333333333332,106.46666666666664,152.92749999999998,154.375,113.19166666666666,131.70000000000002,159.6825,144.9125,144.9125,144.9125,144.9125,144.9125,144.9125,144.9125,144.9125,144.9125,-0.1022955740446569,-0.1022955740446569,-0.1022955740446569,-0.1840021411620828,-0.1952377979617183,-0.1728235906231824,-0.1177231872963802,-0.1258822442989109,-0.0925089886111752,-0.084378484739012,-0.2013017690235293,0.0456810240852316,-0.129722640333348,0.0021517768398837,-0.1247097813831929,-0.1211763315002072,-0.0028557283983273,-0.1261552836080507,-0.0266601162716339,-0.0235603170561055,-0.1117537984789118,-0.0721184843874401,-0.012194386599168,-0.0438241167638345,-0.0438241167638345,-0.0438241167638345,-0.0438241167638345,-0.0438241167638345,-0.0438241167638345,-0.0438241167638345,-0.0438241167638345,-0.0438241167638345
RAPTI RIVER,RAJAIYA,27.44,84.97,2846800,23.817537859371654,23.817537859371654,23.817537859371654,23.817537859371654,23.817537859371654,23.817537859371654,23.817537859371654,23.817537859371654,23.817537859371654,23.817537859371654,23.817537859371654,23.817537859371654,23.817537859371654,23.817537859371654,23.817537859371654,23.817537859371654,23.817537859371654,23.73209549071618,23.685185185185187,28.55172413793104,28.212644507591783,21.87798408488064,28.4021164021164,30.0,31.53315649867374,27.299484052532836,27.404761904761905,27.38115479170503,33.17321276617558,33.17321276617558,33.17321276617558,33.17321276617558,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3031471348280579,-0.3033301083598929,-0.3034305660650985,-0.2930089469783559,-0.2937350808451104,-0.3073006597114033,-0.2933293296672092,-0.2899074862660172,-0.2866242549624793,-0.2956906000590954,-0.295465149141132,-0.2955157034143856,-0.2831120994312706,-0.2831120994312706,-0.2831120994312706,-0.2831120994312706
