date,lat,lon,temperature_celsius,total_precip_m,snow_melt_m,large_scale_snow_melt_m,snow_runoff_m,number,expver,t2m_norm,tp_norm,smlt_norm,lblt_norm,src_norm
2025-04-09,31.0,83.89999999999978,-8.035736,4.339218e-05,3.4797937e-05,276.71606,1.1920929e-07,0,0005,-0.9378512,-0.53841674,-0.24277574,-0.89092684,-0.52296567
2025-04-09,31.0,83.99999999999977,-7.1822205,5.2332878e-05,3.4134835e-05,276.80884,1.7881393e-07,0,0005,-0.88238406,-0.5333769,-0.24318545,-0.876789,-0.522371
2025-04-09,31.0,84.09999999999977,-5.3521423,5.8948994e-05,2.5015324e-05,276.84595,1.1920929e-07,0,0005,-0.7634534,-0.5296473,-0.2488201,-0.8711338,-0.52296567
2025-04-09,31.0,84.19999999999976,-6.1236267,6.0081482e-05,2.0638108e-05,276.9524,-2.775558e-20,0,0005,-0.8135896,-0.5290089,-0.25152463,-0.8549125,-0.5241551
2025-04-09,31.0,84.29999999999976,-7.725189,5.8412552e-05,1.6257167e-05,276.90063,-2.775558e-20,0,0005,-0.91766983,-0.5299497,-0.25423148,-0.86279994,-0.5241551
2025-04-09,31.0,84.39999999999975,-8.08847,5.5253506e-05,2.1874905e-05,276.8059,-2.775558e-20,0,0005,-0.9412783,-0.5317305,-0.25076047,-0.8772354,-0.5241551
2025-04-09,31.0,84.49999999999974,-6.4458923,5.3703785e-05,3.386289e-05,276.91333,-2.775558e-20,0,0005,-0.83453256,-0.53260404,-0.24335347,-0.8608653,-0.5241551
2025-04-09,31.0,84.59999999999974,-4.6822205,7.387996e-05,3.9041042e-05,276.4524,2.9802322e-08,0,0005,-0.7199174,-0.52123064,-0.24015406,-0.9311081,-0.5238577
2025-04-09,31.0,84.69999999999973,-4.863861,0.000114142895,0.0001077801,276.61646,1.4901161e-07,0,0005,-0.73172164,-0.4985342,-0.19768243,-0.9061064,-0.52266836
2025-04-09,31.0,84.79999999999973,-5.725189,0.00014728308,0.000109206885,276.31665,2.9802322e-07,0,0005,-0.7876965,-0.47985289,-0.19680086,-0.951794,-0.52118164
2025-04-09,31.0,84.89999999999972,-5.672455,0.00014594197,0.00010674074,276.6936,4.172325e-07,0,0005,-0.78426945,-0.48060888,-0.1983246,-0.8943497,-0.51999223
2025-04-09,31.0,84.99999999999972,-5.131439,0.00013378263,9.970367e-05,276.70728,9.23872e-07,0,0005,-0.74911064,-0.48746318,-0.20267259,-0.8922662,-0.5149374
2025-04-09,31.0,85.09999999999971,-4.440033,0.00014027953,0.00012461841,276.8147,1.4901161e-07,0,0005,-0.70417845,-0.48380083,-0.18727857,-0.87589604,-0.52266836
2025-04-09,31.0,85.1999999999997,-2.8521423,0.00017312169,0.00019691885,276.72876,2.3841858e-07,0,0005,-0.6009867,-0.4652875,-0.14260648,-0.8889922,-0.5217763
2025-04-09,31.0,85.2999999999997,-1.0884705,0.0001474917,0.00011361018,276.50024,6.556511e-07,0,0005,-0.4863716,-0.47973529,-0.1940802,-0.92381597,-0.5176135
