DCD,VCD,VNM,DNM,DIST,VDCMUN,VNAME_CBS,LINKID,DDVVV,CEMENT_RCC,DRINK_WATE,TOILET,INFORMATIO,TRANSPORT,SLC___EQUI,POPULATION,SEX_RATIO,POP_ABROAD,TOTAL_DEP_,CHILD_WOMA,ROAD_DEN,HEALTH_FAC,FLOOD_FREQ,HAND_DEN,RIV_DEN,FOREST_DEN
1.1560754676702436,-0.2187674478142858,HARIHARPUR,SURKHET,1.1575341736845064,-0.2187674478142858,Hariharpur,1.172806140678393,1.1622434083759237,-0.6576213425601871,-2.893445447762936,0.1803993838139873,-0.7845397626469948,-0.7703000198832431,-1.3487119290633631,-0.10964456148943731,0.04596737621904989,-0.26637905231061165,0.033312156091328655,0.6501041899247549,-1.0201784935313625,0.05720215541782416,-0.3117380841677691,0.006226004775648804,-0.9107964539034094,-0.7222496230050841
1.1560754676702436,-0.20199550122658497,JARBUTA,SURKHET,1.1575341736845064,-0.20199550122658497,Jarbuta,1.1736752078445125,1.162291975300875,0.0676381257791161,-0.17206416931599422,1.9340571047048474,1.0532838641705198,-0.009498897812299005,0.32969325848102354,0.10898743165307348,0.24107569704398324,-0.20136283453100398,-0.8381059362391473,-0.3523847067935064,-0.6097594911882044,0.05720215541782416,0.6552564710794897,0.3587381501696269,0.9350868494907028,0.1262525305543547
1.1560754676702436,-0.1852235546388841,KALYAN,SURKHET,1.1575341736845064,-0.16845160805118323,Kalyan,1.1745442750106323,1.1623891091507774,-0.4570304763168416,-1.5495290948823215,-0.36067852224029595,-0.0050843925398651,-0.6629803085296603,-0.5525788307724799,-0.015281265624477666,-0.4956113259811003,-0.047830561220123274,-1.0225757676163043,0.09416022466144769,-0.6097594911882044,0.05720215541782416,1.6222510263267484,0.5937462470989455,0.27421504951009473,0.025240369416326278
1.1560754676702436,-0.16845160805118323,KAPHALKOT,SURKHET,1.1575341736845064,-0.1852235546388841,Kafalkot,1.1754133421767519,1.1623405422258262,-0.6702712170079657,-1.7873292718604625,-0.15070799153266365,-1.0383797716487766,-0.7758785197308303,0.2278926327979273,-0.16333213769997634,-0.0730224517279944,-0.146529879777118,0.7395148438887272,0.8683802444285379,-0.1993404888450463,0.05720215541782416,-0.3117380841677691,-0.4637901890829887,-0.2423284263368173,0.44949144619604564
1.1560754676702436,-0.15167966146348236,KAPRICHAUR,SURKHET,1.1575341736845064,-0.15167966146348236,Kaprichaur,1.1762824093428714,1.1624376760757287,-0.549193847293514,-0.6767728436907625,-0.964747587506869,-0.7741079814551408,-0.7758785197308303,-0.3698597590335886,-0.2029144240303534,-0.33112538734842173,-0.10579682767423129,0.4432451147072329,0.46217946927236947,-0.6097594911882044,0.05720215541782416,-0.3117380841677691,1.3222713475798338,0.3653697805419026,0.06564523387153769
1.1560754676702436,-0.1349077148757815,KHANIKHOLA,SURKHET,1.1575341736845064,-0.1349077148757815,Khanikholla,1.177151476508991,1.16248624300068,-0.6521999677968534,-1.4153348041394702,-1.0406600101473207,-0.5795644129123187,-0.7718938769825539,0.5541766894745188,-0.18312328086516486,-0.03452574268630379,-0.08543030162278793,0.5152939377366946,0.11280355012299387,-0.6097594911882044,0.05720215541782416,-0.3117380841677691,-0.4402893793900568,0.08430935986049472,0.2676695561475945
1.1560754676702436,-0.11813576828808063,KUNATHARI,SURKHET,1.1575341736845064,-0.11813576828808063,Kunathari,1.1780205436751106,1.1625348099256312,-0.46486135097499026,-0.9096394070386516,0.10892864547696632,-0.3445748155379222,-0.7126555214581751,-0.5551891032258925,0.05207422713660593,0.0485921518355289,-0.034513986494179534,-0.2610942414600943,0.03636591573065453,-0.6097594911882044,0.05720215541782416,-0.3117380841677691,-0.5107918084688524,0.2970037322680467,0.7929327940653425
1.1560754676702436,-0.10136382170037977,LAGAM,SURKHET,1.1575341736845064,-0.10136382170037977,Lagaam,1.1788896108412301,1.1625833768505824,-0.5823244708472195,-2.729649475238573,-1.062060852700214,-1.1364751175932288,-0.7758785197308303,-0.7692314444057367,-0.1375271112525482,0.8307752855462467,-0.28752890628711053,1.3978920198476048,2.185717621541391,-1.0201784935313625,0.05720215541782416,-0.3117380841677691,1.815788351131403,0.22863768399419068,0.9949571163413993
1.1560754676702436,-0.0845918751126789,LATIKOILI,SURKHET,1.1575341736845064,-0.0845918751126789,Latikoili,1.1797586780073497,1.1626319437755337,1.2591358237651142,-1.323569590616785,0.8890499249522466,1.2192772947145838,0.6333567989096578,0.43410415661753293,0.7313150080324684,0.2751977800582092,0.07280193923842586,-0.9238191912224726,-0.7620158538345991,-0.6097594911882044,0.05720215541782416,-0.3117380841677691,-0.32278533092539746,0.2514263667521427,0.6111109040168913
1.1560754676702436,-0.06781992852497805,LEKGAUN,SURKHET,1.1575341736845064,-0.05104798193727718,Lekhgaun,1.1806277451734695,1.1627290776254362,-0.6702712170079657,-2.350254587072203,0.4674937056084615,-0.40862961233000844,-0.7732220912319793,-0.8553704353683567,-0.10209987155353671,0.15620795211116495,-0.2522791496596124,-0.6176116933472594,-0.3500729344362747,-0.6097594911882044,0.05720215541782416,-0.3117380841677691,-0.5342926181617843,0.4565245115737107,0.5909084717892856
